Burn_Value,acres
1,0.007907092
2,0.019026439
3,0.032616753
4,0.109216704
5,0.364467507
6,0.665431184
7,1.300963677
8,2.218433407
9,3.253521127
10,4.168025698
11,4.380034594
12,5.642204102
13,7.578453175
14,11.58833704
15,15.82900914
16,21.12478379
17,26.5547319
18,28.39140104
19,30.48653323
20,32.00815419
21,34.59006672
22,33.0731406
23,30.86187299
24,27.27057079
25,26.61181122
26,27.3869533
27,27.67062021
28,31.57351124
29,33.89226588
30,30.71954534
31,22.73560662
32,21.46429454
33,17.77761305
34,11.91079812
35,8.436619718
36,5.773412404
37,4.255992093
38,3.909809736
39,3.87373363
40,3.772671114
41,3.499629355
42,2.823078824
43,2.480355819
44,1.887076847
45,1.583148011
46,1.364714603
47,1.437608105
48,1.551766741
49,1.893995552
50,2.096861873
51,2.376822338
52,2.847788485
53,3.297504324
54,3.345688164
55,3.467259699
56,3.28687917
57,3.202619224
58,3.054608352
59,2.765752409
60,2.500123548
61,2.214479862
62,2.077588337
63,1.993081295
64,2.000988386
65,1.849271065
66,1.695082777
67,1.482826785
68,1.31529528
69,1.1606128
70,0.897207808
71,0.670126019
72,0.483568075
73,0.334568816
74,0.199406968
75,0.118359278
76,0.065233506
77,0.023474178
78,0.006177415
79,0.000494193
191,0.100568322
193,0.035087719
199,0.218433407
